[2024-11-19 16:17:33,280: INFO: main: Initiate the data ingestion]
[2024-11-19 16:17:37,294: INFO: data_ingestion: Performed train test split on the dataframe]
[2024-11-19 16:17:37,294: INFO: data_ingestion: Exited split_data_as_train_test method of Data_Ingestion class]
[2024-11-19 16:17:37,295: INFO: data_ingestion: Exporting train and test file path.]
[2024-11-19 16:17:37,357: INFO: data_ingestion: Exported train and test file path.]
[2024-11-19 16:17:37,358: INFO: main: >>>>>> stage Data Validation Stage started <<<<<<]
[2024-11-19 16:17:37,358: ERROR: main: __init__() missing 2 required positional arguments: 'data_ingestion_artifact' and 'data_validation_config']
Traceback (most recent call last):
  File "/Users/vanshbansal/Desktop/MLOps/DS-Project-2/Project-2/main.py", line 26, in <module>
    obj = DataValidation()
TypeError: __init__() missing 2 required positional arguments: 'data_ingestion_artifact' and 'data_validation_config'
[2024-11-19 16:21:01,649: INFO: main: Initiate the data ingestion]
[2024-11-19 16:21:06,152: INFO: data_ingestion: Performed train test split on the dataframe]
[2024-11-19 16:21:06,152: INFO: data_ingestion: Exited split_data_as_train_test method of Data_Ingestion class]
[2024-11-19 16:21:06,152: INFO: data_ingestion: Exporting train and test file path.]
[2024-11-19 16:21:06,214: INFO: data_ingestion: Exported train and test file path.]
[2024-11-19 16:21:06,214: INFO: main: Data ingestion completed!!!]
[2024-11-19 16:21:06,218: INFO: main: Initiate the data validation]
[2024-11-19 16:41:50,404: INFO: main: Initiate the data ingestion]
[2024-11-19 16:41:54,059: INFO: data_ingestion: Performed train test split on the dataframe]
[2024-11-19 16:41:54,060: INFO: data_ingestion: Exited split_data_as_train_test method of Data_Ingestion class]
[2024-11-19 16:41:54,060: INFO: data_ingestion: Exporting train and test file path.]
[2024-11-19 16:41:54,119: INFO: data_ingestion: Exported train and test file path.]
[2024-11-19 16:41:54,119: INFO: main: Data ingestion completed!!!]
[2024-11-19 16:41:54,123: INFO: main: Initiate the data validation]
[2024-11-19 16:44:33,026: INFO: main: Initiate the data ingestion]
[2024-11-19 16:44:39,506: INFO: data_ingestion: Performed train test split on the dataframe]
[2024-11-19 16:44:39,506: INFO: data_ingestion: Exited split_data_as_train_test method of Data_Ingestion class]
